,Plot 2 (FL1-A),,Plot 3 (FL3-A),,Plot 5 (FL1-A)
,This Plot,M1,This Plot,M2,This Plot
,Median FL1-A,% of This Plot,Median FL3-A,% of This Plot,Median FL1-A
A01,236,1.74%,291,1.61%,0
A02,"14,078.50",96.41%,"7,243.00",95.42%,736
A03,"17,207.00",98.62%,"15,327.00",98.82%,0
A04,506,24.47%,464,23.22%,0
A05,"14,571.50",98.68%,"15,424.50",98.99%,0
A06,335,6.87%,526,28.95%,0
B01,242,1.99%,308,2.03%,0
B02,"13,472.00",95.83%,"7,005.00",94.59%,0
B03,"16,308.50",98.11%,"14,549.00",98.40%,0
B04,605,31.25%,490,26.41%,0
B05,"15,178.00",99.19%,"15,422.00",99.33%,0
B06,911,45.64%,"2,255.00",67.56%,0
C01,156,0.08%,300,2.46%,0
C02,"12,570.00",94.76%,"6,320.00",93.65%,0
C03,"15,296.00",98.08%,"14,180.00",98.36%,0
C04,608,31.20%,494,26.42%,0
C05,"15,695.00",97.89%,"11,940.50",98.19%,0
C06,649,34.60%,"1,408.00",59.72%,0
D01,153,0.06%,302,1.86%,0
D02,"10,386.00",90.39%,"5,087.00",87.37%,0
D03,"10,753.00",93.58%,"9,498.00",93.74%,0
D04,516,24.22%,463,23.05%,671.5
D05,569,28.63%,580,35.38%,0
D06,402,9.83%,488,25.24%,0
E01,472,12.43%,360,8.33%,0
E02,"3,752.00",67.44%,"1,834.00",61.08%,0
E03,"1,863.00",62.74%,"1,901.00",66.86%,0
E04,560,28.10%,470,22.38%,0
E05,316,4.25%,359,8.08%,0
E06,326,4.41%,377,10.32%,0
F01,431,10.31%,360,8.14%,0
F02,463,18.94%,419,18.76%,0
F03,608,29.28%,683,39.94%,0
F04,488,22.13%,438,20.33%,0
F05,312,4.19%,351,7.64%,0
F06,274,2.01%,348,7.06%,0
G01,549,18.28%,374,8.13%,"7,284.50"
G02,323,4.26%,365,8.23%,"7,732.00"
G03,364,8.42%,419,15.75%,"1,458.00"
H01,560,18.96%,359,9.46%,"7,075.00"
