,Plot 2 (FL1-A),,Plot 3 (FL3-A),,Plot 5 (FL1-A)
,This Plot,M1,This Plot,M2,This Plot
,Median FL1-A,% of This Plot,Median FL3-A,% of This Plot,Median FL1-A
A01,,,316,0.88%,"10,591.50"
A02,,,"4,745.00",88.52%,0
A03,,,"12,863.00",97.36%,0
A04,,,454,17.28%,0
A05,,,"11,828.50",97.70%,"5,525.00"
A06,,,"10,744.00",95.76%,0
B01,,,308,0.78%,"30,923.00"
B02,,,"4,538.00",87.36%,"27,476.00"
B03,,,"12,623.00",96.22%,"4,699.00"
B04,,,473,19.10%,0
B05,,,"11,564.00",97.70%,"45,026.00"
B06,,,"11,884.50",97.12%,0
C01,,,310,1.74%,0
C02,,,"3,966.00",84.58%,"6,177.00"
C03,,,"10,955.50",94.74%,0
C04,,,476,20.86%,0
C05,,,"10,863.00",97.32%,"904,073.00"
C06,,,"11,273.00",97.30%,0
D01,,,304,1.42%,0
D02,,,"2,938.50",77.78%,0
D03,,,"9,081.50",91.82%,0
D04,,,401,12.76%,0
D05,,,770,41.54%,"7,769.00"
D06,,,"6,976.50",91.46%,0
E01,,,362,5.94%,0
E02,,,"1,001.00",49.04%,0
E03,,,"2,625.50",67.34%,0
E04,,,474,19.54%,0
E05,,,358,6.84%,0
E06,,,631,33.04%,0
F01,,,361,5.04%,"55,287.00"
F02,,,428,13.04%,"11,459.00"
F03,,,617,31.86%,0
F04,,,413,10.46%,"2,210.00"
F05,,,361,6.10%,0
F06,,,407,9.28%,0
G01,,,381,6.92%,"8,866.00"
G02,,,373,5.92%,0
G03,,,410.5,11.30%,553
H01,,,395,6.76%,"9,378.50"
